UserId,Condition,Scenario,Direction,TimeStamp,DtInMs,ConWPosX,ConWPosY,ConWPosZ,ConPosX,ConPosY,ConPosZ,ConRotX,ConRotY,ConRotZ,IsHit,DotId,HitPosX,HitPosY,HitPosZ
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.60,25.63,1.614064,0.8681238,-0.9648235,-0.6453117,0.8681238,-0.1991491,359.2591,244.7351,0.07505486,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.61,25.63,1.614141,0.8682364,-0.964802,-0.6452398,0.8682364,-0.1991125,359.2506,244.7368,0.083813,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.62,25.63,1.614043,0.868166,-0.9649711,-0.6453032,0.868166,-0.199298,359.2583,244.7216,0.08433015,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.63,25.63,1.614157,0.8681971,-0.9650067,-0.6451841,0.8681971,-0.1993101,359.2678,244.7318,0.08870566,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.64,25.63,1.614102,0.8682632,-0.9650909,-0.6452208,0.8682632,-0.1994035,359.2708,244.7178,0.08258715,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.66,25.63,1.614059,0.8681806,-0.9650114,-0.6452789,0.8681806,-0.199334,359.2663,244.7178,0.0752911,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.67,25.63,1.614036,0.8680747,-0.965066,-0.6452907,0.8680747,-0.1993922,359.2695,244.7267,0.07227395,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.68,25.63,1.614059,0.8682857,-0.9651088,-0.6452593,0.8682857,-0.1994294,359.264,244.7262,0.07058075,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.69,25.63,1.614091,0.8683665,-0.9651618,-0.6452172,0.8683665,-0.1994751,359.2693,244.7198,0.07040282,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.70,25.63,1.613913,0.8683426,-0.9649281,-0.6454386,0.8683426,-0.1992816,359.266,244.7373,0.06030311,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.71,25.63,1.613827,0.868345,-0.9649458,-0.6455196,0.868345,-0.1993161,359.266,244.7352,0.06302471,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.72,25.63,1.613729,0.8684042,-0.9649805,-0.6456081,0.8684042,-0.1993694,359.2691,244.7272,0.05933655,FALSE,1,1.60404,1.00513,-1.029282
